Country,Continent,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Image URL
Albania,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13530.34483,27060.68966,68240,348847.5862,991833.1034,1771886.897,2736659.31,4282648.276,5664508.276,7319916.552,8352928.966,8695305.517,8968853.793,10001866.21,12067891.03,13620939.31,15885801.38,16788804.83,17623568.28,18643050.34,19669591.72,20866733.1,22289772.41,24109897.93,27462482.07,30219731.03,33497015.86,38477947.59,43753017.24,49123975.86,54261977.24,59488808.28,65112725.52,71174320,77906548.97,85664731.03,94606524.14,104780166.9,116116831,130826669,145241780.7,157351439.3,169803474.5,182802606.2,196144114.5,210511575.9,224879037.2,242400245.5,259873215.2,285288497.2,315072315.9,336973237.9,358814744.1,380656250.3,402100670.3,419621878.6,438286106.9,450199869.7,457745095.9,462125397.9,466493934.5,470862471,474833921.4,478617123.4,482256786.2,484758723.4,486972993.8,489225502.1,491589194.5,494115251,496782493.8,499447383.4,502226986.9,505301904.8,507850904.1,510239892.4,512355920.7,516662100,522823113.1,529527104.8,536281100,544424602.8,552431037.2,561489309,561489309,561489309,561489309,561489309,Albania,https://public.flourish.studio/country-flags/svg/al.svg
Algeria,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059.310345,14118.62069,21177.93103,28237.24138,35296.55172,35296.55172,42355.86207,49415.17241,62945.51724,76475.86207,83535.17241,90594.48276,97653.7931,118243.4483,131773.7931,138833.1034,145892.4138,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,152951.7241,160011.0345,160011.0345,160011.0345,160011.0345,160011.0345,160011.0345,180600.6897,228251.0345,542978.6207,1124783.448,1624229.655,2000726.207,2233095.172,2376634.483,5311542.759,13740359.31,72797373.1,179917113.1,320219141.4,481935587.6,663163967.6,841999829.7,1072169820,1336566877,1626815128,1930829034,2261373005,2513129778,2853340886,3207044690,3534309023,3854524634,4211858100,4593322641,4982854210,5380261027,5732896521,6047110543,6359710335,6667265662,7001042209,7323017354,7654695521,7998130969,8357832245,8730597951,9129845483,9531407293,9917969833,10303313465,10686933449,11068774487,11472515859,11893736083,12313716222,12714147365,13171080640,13620925780,14105957463,14646481797,15218108275,15809484351,16399247963,16990927589,17570832874,18099240490,18603982944,19094357937,19554199060,19997428449,20467935602,20927865554,21395950775,21851932808,22298911279,22739034571,23133099982,Algeria,https://public.flourish.studio/country-flags/svg/dz.svg
Angola,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54709.65517,122949.6552,471797.2414,820644.8276,1278911.724,1990725.517,5213300.69,10686619.31,16878222.76,21359708.28,25677064.83,29350847.59,34481789.66,51298831.72,85951809.66,125092744.1,173374309,229304636.6,287739254.5,341042342.1,392792381.4,441108066.2,485366412.4,534626280,585446255.2,634419044.1,678273833.1,738412097.9,807335086.2,885685783.4,980962353.8,1100732378,1253438203,1408346532,1568304034,1736020306,1921791352,2091532469,2279157761,2492432468,2734380330,2984100492,3230399830,3481488321,3733603354,3983665305,4288802818,4581849497,4955287014,5382441177,5852317698,6407752472,7039172486,7627806019,8236223270,8797455503,9381019863,9963968888,10533723472,11136901538,11723696122,12282008153,12788874871,13261426871,13702822015,Angola,https://public.flourish.studio/country-flags/svg/ao.svg
Argentina,South America,0,0,0,0,0,0,0,0,13530.34483,34120,54709.65517,68240,115890.3448,245899.3103,519447.5862,1025953.103,1887777.241,3099037.241,4439717.931,5760397.241,7395804.138,9461828.966,12465565.52,15865800,20497884.14,26566537.93,34407078.62,43007083.45,52024175.86,61342465.52,70270728.28,81573272.41,94401215.86,107749195.2,121418961.4,135355216.6,150489201.4,166498540.7,183219693.8,201439185.5,221608223.4,243159709.7,266366604.1,290674751,314394622.1,336794402.1,357155217.9,378541986.9,401277084.1,423389197.2,446356663.4,470309491.7,494611167.6,522524857.2,551458029,581321853.1,611678064.1,644915062.1,679820998.6,723456949,785975966.2,866379157.9,960212687.6,1053026735,1148837460,1243011013,1343199687,1452407806,1572051939,1695932247,1832768742,1980348919,2132357049,2280144888,2424810158,2563425599,2703091701,2854032110,3012826002,3178928045,3351796437,3527875638,3702825350,3878432166,4050443439,4215728367,4372187392,4526620983,4688903350,4854675959,5028703842,5205779583,5404463872,5617019119,5853131283,6109398368,6388647037,6685475741,6986700043,7271920301,7554805103,7855352888,8151418599,8446252460,8726936522,8996285685,9266073701,9527523496,9786170744,10019085629,10246765448,10460124279,10671125888,10877647777,11081435360,11286997183,11482878926,11669246484,11857681832,12054959554,12244082008,Argentina,https://public.flourish.studio/country-flags/svg/ar.svg
Australia,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300089.655,3668488.276,6713992.414,13819776.55,27052453.79,42279386.21,101833493.1,206205396.6,317587195.2,457118582.1,595173396.6,743102421.4,894582867.6,1054846861,1213510743,1372758784,1522172029,1667700888,1811199608,1950883946,2132072323,2341993270,2529540321,2728890539,2918084763,3096528245,3303659588,3499420146,3692343450,3872289389,4066031573,4248464154,4440480925,4644280273,4837250051,5025202424,5278971101,5513779646,5747129856,5949114961,6125514773,6298794958,6457015869,6625525137,6793599668,6958569280,7127131492,7274418120,7420711150,7542554846,7673200326,7789410693,7895682728,7991893480,8092419824,8224238914,8358734660,Australia,https://public.flourish.studio/country-flags/svg/au.svg
Austria,Europe,0,0,7059.310345,14118.62069,21177.93103,28237.24138,35296.55172,42355.86207,55886.2069,69416.55172,82946.89655,90006.2069,97065.51724,104124.8276,111184.1379,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,118243.4483,125302.7586,152951.7241,200602.069,255311.7241,481209.6552,871236.5517,1856598.621,4682087.586,9142983.448,15102217.93,22655680,30954487.59,33998815.17,39779802.07,46005525.52,52505385.52,60373575.17,71997317.93,87616630.34,106526757.9,128563571.7,152153433.8,177235163.4,200688545.5,222485931,241889033.8,258706075.9,275454289.7,291573048.3,307951824.8,325877178.6,344096670.3,363629782.1,382492259.3,400862349.7,419498929,438368465.5,457511550.3,474725090.3,491678612.4,509323358.6,524635002.8,538571257.9,551782757.2,564008894.5,576255621.4,588078201.4,599073665.5,608823749.7,618952683.4,628702767.6,637716918.6,646329277.2,654941635.9,663065725.5,672079876.6,681069320,689679325.5,699805906.2,708792996.6,717349469,725500031,734372407.6,742814754.5,750207029,758222875.9,765316306.2,772809175.9,780424406.9,788295537.9,795893709,803574826.9,810487656.6,817645209,824980420.7,832171504.8,839409651,846853693.8,854623641.4,862153572.4,868549307.6,875328598.6,881851989.7,887616504.8,887616504.8,887616504.8,887616504.8,887616504.8,Austria,https://public.flourish.studio/country-flags/svg/at.svg
Azerbaijan,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90515065.52,179798869.7,274966020.7,368970150.3,459006359.3,544526962.8,625078400,701675446.9,771811460,837236560,899917941.4,962179882.1,1023939435,1102269543,1197033137,1293288010,1395769194,1500678782,1605889567,1711654508,1863636165,2084399624,2381053023,2691177350,3039188997,3390283797,3705649662,4004891474,4304863337,4595721630,4883206750,5166639825,5434075326,5702256173,5962200570,6202340659,Azerbaijan,https://public.flourish.studio/country-flags/svg/az.svg
Bahrain,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648.96552,294726.2069,1478337.241,5822754.483,13081490.34,20833201.38,27934867.59,34550617.93,40906350.34,46742046.9,52892471.03,59172904.14,66007493.1,73499186.21,82304499.31,92512262.07,102788264.8,113091916.6,123374978.6,133671571,143941102.8,154224164.8,164500167.6,174803819.3,185743397.2,199659062.8,215066595.9,230501189.7,245881073.8,261268017.2,276702611,293539654.5,312983348.3,334048918.6,357782908.3,383596453.1,409581186.2,435750637.9,461331813.8,485195224.1,508532127.6,531540773.1,552408094.5,572262404.8,592069064.8,610910952.4,628398040.7,648332356.6,667526033.1,685979070.3,703960310.3,721620351.7,738792712.4,757245749.7,775226989.7,793629435.2,811711858.6,828613612.4,844034675.9,859668106.9,878089965.5,896781842.8,914663664.1,930366511.7,948148326.2,964919482.8,981590044.1,998507093.1,1014988818,1031438776,1048073452,1064789899,1080449803,1096379725,1112309647,1128283690,1144213612,1159602908,1175262223,1193462890,1213936067,1235236359,1257090219,1278261679,1278261679,1278261679,1278261679,1278261679,Bahrain,https://public.flourish.studio/country-flags/svg/bh.svg
Bangladesh,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72946.2069,218838.6207,477680,737697.931,997127.5862,1293618.621,1527164.138,1870128.966,2176620.69,2557235.172,2973146.207,3534949.655,3987333.793,4550902.069,5185651.724,5783928.276,6345731.724,7311680.69,8595886.897,10861337.24,13126787.59,15372824.83,17612391.03,19851957.24,22091523.45,24215787.59,26090622.76,27966046.21,29841469.66,31599826.21,33109930.34,34620034.48,36130138.62,37644360.69,37644360.69,37644360.69,37644360.69,37644360.69,Bangladesh,https://public.flourish.studio/country-flags/svg/bd.svg
Belarus,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14854553.79,29668516.55,44390120,58678164.14,72107325.52,85566488.97,99053301.38,112604235.9,126344595.2,140047304.8,153567649,167048578.6,180541273.8,193503344.1,206465414.5,219427484.8,232425440,244646871,255757049,266867226.9,278007995.2,289118173.1,300228351,309889017.2,322020442.1,322020442.1,322020442.1,322020442.1,322020442.1,Belarus,https://public.flourish.studio/country-flags/svg/by.svg
Benin,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545988.966,4260293.793,7354036.552,10447779.31,13155024.83,15094570.34,16641735.86,18188901.38,19736066.9,21908569.66,24152253.79,26434764.14,27595432.41,28371368.28,28874344.14,29261429.66,29648515.17,29916180.69,30186787.59,30496220.69,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,Benin,https://public.flourish.studio/country-flags/svg/bj.svg
Bolivia,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059.310345,27648.96552,55297.93103,68828.27586,102948.2759,198837.2414,335905.5172,479444.8276,568274.4828,677693.7931,800643.4483,992421.3793,1252439.31,1464806.897,1738355.172,2039552.414,2320160,2662536.552,2984323.448,3319640.69,3730257.241,4332063.448,4899749.655,5365075.862,5823342.759,6356908.966,7868777.931,10270120,13123257.93,16311713.1,19376630.34,22202119.31,25390574.48,28058993.79,30549165.52,33579962.76,36508400,39505077.24,44930745.52,57888697.93,71257266.9,84092269.66,91768681.38,103467723.4,117363387.6,132387953.1,146837773.1,159659245.5,172590137.2,183619133.1,193922784.8,202775748.3,213584140.7,222348274.5,232334257.2,241617838.6,250575515.2,259157283.4,266777809,274490105.5,282483009.7,290805348.3,299478299.3,308151250.3,317396005.5,326966665.5,336992062.8,348528152.4,360894299.3,373177499.3,387702030.3,400722340,413352622.8,427458301.4,442000480.7,455106678.6,474433305.5,494293498.6,513571886.9,533080879.3,549156693.8,563509448.3,578435771.7,593800949,611578057.2,631645911.7,652868551.7,675592471.7,699555300.7,699555300.7,699555300.7,699555300.7,699555300.7,Bolivia,https://public.flourish.studio/country-flags/svg/bo.svg
Brazil,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648.96552,68828.27586,123537.931,191777.931,253546.8966,342376.5517,472385.5172,568274.4828,869471.7241,1485396.552,2156031.034,2970204.828,3852618.621,5658625.517,9291817.241,18329499.31,35248901.38,56341532.41,82818652.41,113941386.9,143818741.4,175762709,205544174.5,240061849,282201813.8,335230764.8,393500077.2,457054460,517211549.7,580181774.5,641948975.2,704590353.8,769954273.1,833656901.4,895694709,955475302.1,1014917637,1076496589,1144098898,1223051990,1319260389,1441239977,1611979987,1813606244,2025603805,2236507761,2442606091,2662718917,2896209137,3126978580,3361241794,3600331811,3848273615,4104862486,4395860201,4707812890,5068225391,5475279932,5934279232,6414748248,6952547688,7510244383,8063761966,8672541594,9315899490,9965928434,10641806808,11364857846,12126113284,12905016998,13670926286,14421547462,15259339942,16163755253,17095587748,18069267835,19028626346,20060172188,21149300236,Brazil,https://public.flourish.studio/country-flags/svg/br.svg
Bulgaria,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34120,1060661.379,2750777.931,4700912.414,6219840.69,7533460.69,8901790.345,10317770.34,11679040.69,12862651.72,13957433.1,15524011.72,18288320,21702084.83,24951720.69,27175403.45,29460266.9,31546881.38,33243468.97,34543558.62,35528920.69,36363684.14,37164327.59,38046741.38,39729798.62,41508744.83,42623527.59,43734780.69,44846033.79,45957286.9,47443271.72,49665777.93,51888284.14,54110790.34,55744432.41,57595736.55,59077015.17,59521163.45,59929426.9,60299452.41,60706539.31,61076564.83,61336582.76,61558951.03,61855442.07,62151933.1,62467837.24,62691382.07,62965518.62,63187886.9,63559088.97,63929114.48,64299140,64669165.52,65040367.59,65410393.1,65780418.62,66150444.14,66521646.21,66891671.72,67261697.24,67631722.76,68002924.83,68002924.83,68002924.83,68002924.83,68002924.83,Bulgaria,https://public.flourish.studio/country-flags/svg/bg.svg
Cameroon,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260017.931,3714962.069,17425907.59,39213880.69,71806716.55,112641297.2,155348948.3,206062445.5,275368989.7,341678856.6,406864528.3,468096397.9,531783731,592099066.9,649417725.5,702009587.6,749587574.5,790027422.1,831611466.2,872188382.1,918642762.1,963972946.9,1001436119,1033300081,1062014414,1088170923,1113270890,1138060246,1168898255,1201267546,1232297333,1262847675,1291658486,1316009577,1339109405,1362775743,1386286188,1414383419,1451097128,1485657746,1485657746,1485657746,1485657746,1485657746,Cameroon,https://public.flourish.studio/country-flags/svg/cm.svg
